Sector,2011 Response status,2010 Response status,,Carbon disclosure score,Scope 3,Scope 2,Company,Non-Public,Carbon performance band,Total Emissions1,Scope 3 source type,Scope 1
Energy,AQ,AQ,,72,2327,599281,Encana,,C,5841898,Tr,5242617
Utilities,AQ,AQ,,88,17184,660575,Endesa,,A-,39291885,Tr Oth,38631310
Utilities,AQ,AQ,,89,991855,244996,ENEL,,A,116649738,PGS Fu Wa Oth,116404742
Energy,AQ,AQ,,83,268737319,1885842,Eni,,B,62561965,PGS Tr USP,60676123
Information Technology,AQ,AQ,,82,18443000,174000,Ericsson,,B,204000,TI Tr EC USP,30000
Utilities,AQ,AQ,,79,5033,276678,Exelon,,C,9522374,Tr,9245696
Energy,AQ,AQ,,70,1600000,15000000,Exxon Mobil,,B,147000000,USP,132000000
Industrials,AQ,AQ,,50,1008493,996872,FedEx,,D,14149767,PGS,13152895
Consumer Discretionary,AQ,AQ,,93,2106700,1647622,Fiat,,A,2062497,PGS EC TSP USP,414875
Financials,AQ,AQ,,88,23196.51,309008.49,Firstrand,,B,321228.24,PGS Tr,12219.75
Utilities,AQ,AQ,,97,5654740,104279,Fortum Oyj,,B,25704279,Fu Tr USP,25600000
Financials,AQ,AQ,,62,7966,29587,Franklin Resources,,D,39949,Tr,10362
Materials,AQ,AQ,,87,337500,4363371,Freeport-McMoRan Copper & Gold,,C,9985750,TI Tr PSP,5622379
Materials,AQ,AQ,,62,3891000,522432,FujiFilm Holdings,,E,1315765,PGS TI Wa USP,793333
Utilities,AQ,AQ,,87,163417207,3250751,GDF Suez,,B,112575205,Fu USP,109324454
Consumer Staples,AQ,AQ,,64,452295,723042,General Mills,,C,1002526,TI Tr,279484
Health Care,AQ,AQ,,95,18795,37369,Gilead Sciences,,B,67094,Tr EC,29725
Health Care,AQ,AQ,,93,4923155,1005969,GlaxoSmithKline,,A,2007715,TI Tr USP Oth,1001746
Financials,AQ,AQ,,83,168250,336842,Goldman Sachs Group,,B,351487,Tr,14645
Information Technology,AQ,AQ,,89,207065,1226350,Google,,A-,1237476,Tr EC Ld SE,11126
Consumer Discretionary,AQ,AQ,,57,215377,270422,H&M,,D,281888,TI Tr,11466
Energy,AQ,AQ,,91,40308994,581438,Hess,,B,9034065,TI Tr TSP USP,8452627
Information Technology,AQ,AQ,,84,5850300,1728510,Hewlett-Packard,,B,1865170,PGS Tr TSP,136660
Industrials,AQ,AQ,,88,12223173,3787696,Hitachi,,C,4719794,PGS Tr TSP,932098
Materials,AQ,AQ,,79,8177160,6116034,Holcim,,C,108334034,PGS Fu TI Wa Tr EC SE,102218000
Consumer Discretionary,AQ,AQ,,82,3390000,2805003,Home Depot,,B,3073094,TI,268091
Consumer Discretionary,AQ,AQ,,95,65796,2947000,Honda Motor Company,,A,4365000,TSP,1418000
Financials,AQ,AQ,,95,91814,747617,HSBC Holdings,,A-,831642,Tr,84025
Consumer Discretionary,AQ,AQ,,83,36844,1428339,Hyundai Motor,,B,2227634,TSP,799295
Utilities,AQ,AQ,,78,23247787,6232560,Iberdrola,,C,46171669,Tr TSP Oth,39939109
Financials,AQ,AQ,,67,7502.76,52675.68,ICICI Bank,,E,54806.22,Wa Tr EC Oth,2130.54
Materials,AQ,AQ,,80,217449,3108473,Impala Platinum Holdings,,C,3692977,Fu Wa Tr EC Oth,584504
Consumer Discretionary,AQ,AQ,,57,41029,309602,Inditex,,D,332472,TI,22870
Financials,AQ,AQ,,64,51243,244783,ING Group,,D,276370,Tr,31587
Energy,AQ,AQ,,62,5594,15904,Inpex,,C,411995,TI EC,396091
Information Technology,AQ,AQ,,66,43595000,1712724,Intel,,C,2878008,PGS TI Tr USP,1165284
Information Technology,AQ,AQ,,83,3134613,2125986,IBM,,B,2704276,Tr EC Lu USP,578290
Financials,AQ,AQ,,68,18390,63795,Intesa Sanpaolo S.p.A,,C,119239,Tr,55444
Materials,AQ,AQ,,90,48289,1022840,Israel Chemicals,,B,2880617,Fu Wa Tr Oth,1857777
Financials,AQ,AQ,,72,28439.4,30546.7,Itau Unibanco Holding,,C,34195.6,Fu TI Wa Tr Oth,3648.9
Financials,AQ,AQ(SA),,77,36355.38,104892,Itausa Investimentos Itau S.A.,,C,547903,Fu TI Wa Tr Oth,443011
Industrials,AQ,AQ,,64,583250,155273,ITC,,D,1463039,TI,1307766
Health Care,AQ,AQ,,78,296286,934081,Johnson & Johnson,,C,1279804,Tr,345723
Consumer Discretionary,AQ,AQ,,83,79785,1349406,Johnson Controls,,B,1911629,Tr,562223
Financials,AQ,AQ,,81,137804,1226197.1,JPMorgan Chase,,B,1322231.5,Tr,96034.4
Financials,AQ,AQ,,73,1659,36702,KB Financial Group,,C,39005,PGS Fu Tr Oth,2303
Consumer Staples,AQ,AQ,,85,260000,762927,Kellogg Company,,B,1343409,TI,580482
Consumer Staples,AQ,AQ,,70,648040,3117027,Kimberly-Clark,,C,5728814,TI,2611787
Consumer Discretionary,AQ,AQ,,78,226902,832519,Kohls,,C,859581,TI Tr,27062
Industrials,AQ,AQ,,74,4069600,393400,Komatsu,,C,561300,TSP USP SE,167900
,AQ,AQ,,79,1841.6,193000,Koninklijke KPN NV,,B,263500,Tr Oth,70500
Consumer Staples,AQ,AQ(SA),,86,37225790,1850495,Kraft Foods,,C,3319396,PGS Fu TI Tr EC TSP USP DSP,1468901
Materials,AQ,AQ,,82,28129380.2,507567,Kumba Iron Ore,,B,837473,PGS TI Tr EC USP,329906
Materials,AQ,AQ,,96,6574249,8326698,Lafarge,,A-,104663099,PGS TI Tr TSP,96336401
Industrials,AQ,AQ,,69,17466,106275,Larsen & Toubro,,C,394320,EC,288045
Materials,AQ,AQ,,63,354701,9520000,Linde,,C,15350000,TI Tr,5830000
Financials,AQ,AQ,,85,36038,333315,Lloyds Banking Group,,B,406497,Tr,73182
Industrials,AQ,AQ,,90,212431,1061122,Lockheed Martin,,A,1374988,Tr,313866
Consumer Staples,AQ,AQ,,57,5640000,115078,LOreal,,C,195016,TI TSP USP DSP,79938
Consumer Discretionary,AQ,AQ,,64,551235,261682,LVMH,,C,304782,PGS Wa Tr TSP Oth,43100
