Company,Sector,2011 Response status,2010 Response status,Carbon disclosure score,Carbon performance band,Non-Public,Total Emissions1,Scope 1,Scope 2,Scope 3,Scope 3 source type,,,,
Costco Wholesale ,Consumer Staples ,AQ ,AQ ,49,-,NP ,-,-,-,-,-,,,,
Covidien ,Health Care ,AQ ,NR ,48,-,,662351.45,229615,432736.45,-,,,,,
Credit Agricole ,Financials ,AQ ,AQ ,57,D ,,10613,757,9856,10705,Tr,,,,
Credit Suisse ,Financials ,AQ ,AQ ,81,C ,,227120,19946,207174,138693,PGS Fu Wa Tr ,,,,
Criteria Caixa ,Financials ,AQ ,AQ ,54,C ,,360,-,360,98.66,Tr,,,,
CSL ,Health Care ,AQ ,AQ ,72,D ,,185318,51460,133858,13000,Tr ,,,,
CSX ,Industrials ,AQ ,AQ ,85,A ,,5475420,5214546,260874,20899,Tr ,,,,
Cummins India ,Consumer Discretionary ,AQ(SA) ,AQ(SA) ,-,-,,-,-,-,-,,,,,
CVS Caremark ,Consumer Staples ,AQ ,AQ ,67,D ,,1766839,220888,1545951,10933,Tr,,,,
Daimler ,Consumer Discretionary ,AQ ,AQ ,78,B ,,3699102,1063986,2635116,31064085,TI Tr EC USP DSP ,,,,
Danaher ,Industrials ,AQ ,AQ ,10,-,NP,-,-,-,-,-,,,,
Danone ,Consumer Staples ,AQ ,AQ ,89,A-,,1329924,530119,799805,1984000,TSP DSP Oth,,,,
Danske Bank ,Financials ,AQ ,AQ ,66,E ,,41656,4402,37254,10520,PGS Tr,,,,
DBS Group Holdings ,Financials ,DP ,DP ,-,-,,-,-,-,-,,,,,
Deere ,Industrials ,AQ ,AQ ,63,C ,,1336644,455171,881473,37656,Tr,,,,
Dell ,Information Technology ,AQ ,AQ ,72,C ,,438906,34115,404791,112679,Tr,,,,
Denso ,Consumer Discretionary ,AQ ,AQ ,48,-,NP,-,-,-,-,-,,,,
Deutsche Bank ,Financials ,AQ ,AQ ,82,B ,,496933.65,26643.3,470290.35,115654.44,Tr ,,,,
Deutsche Post ,Industrials ,AQ ,AQ ,99,A-,,6300000,5300000,1000000,50000,Tr Oth ,,,,
Deutsche Telekom ,,AQ ,AQ ,79,C ,,3484504,391152,3093352,91184,Tr,,,,
Devon Energy ,Energy ,AQ ,AQ ,59,D ,,4170000,3680000,490000,16063,Fu,,,,
Diageo ,Consumer Staples ,AQ ,AQ ,89,A-,,724509,619161,105348,200000,TI,,,,
DIRECTV Group ,Consumer Discretionary ,NR ,NR ,-,-,,-,-,-,-,,,,,
DnB NOR ,Financials ,AQ ,AQ ,63,D ,,11892.46,1176.06,10716.4,8487.6,Wa Tr,,,,
Dominion Resources ,Utilities ,AQ ,AQ ,69,D ,,59353956,59004018,349938,-,Oth ,,,,
Dongfeng Motor Group ,Consumer Discretionary ,DP ,NR ,-,-,,-,-,-,-,,,,,
Dow Chemical ,Materials ,AQ ,AQ ,95,A-,,38084000,29043000,9041000,3025000,TI Tr TSP ,,,,
Duke Energy ,Utilities ,AQ ,AQ ,62,C ,,90612245,90612245,-,-,,,,,
E.I. du Pont de Nemours and Company ,Materials ,AQ ,AQ ,80,B ,,15432000,10749000,4683000,146253,Tr,,,,
E.ON AG ,Utilities ,AQ ,AQ ,80,B ,,132326014,126884620,5441394,143866848,PGS Eq Fu TI Tr EC USP ,,,,
EADS ,Industrials ,AQ ,AQ ,52,D ,,-,-,-,-,,,,,
East Japan Railway ,Industrials ,AQ ,AQ ,43,-,,2540000,210000,2330000,-,,,,,
eBay ,Consumer Discretionary ,AQ ,AQ ,63,C ,,207746,11462,196284,21600,Tr,,,,
Ecopetrol ,Energy ,AQ ,AQ ,40,-,,6072260,5880210,192050,-,,,,,
