Country,Year, Electricity/Heat  (MtCO??), Manufacturing/Construction  (MtCO??), Transportation  (MtCO??), Other Fuel Combustion  (MtCO??), Fugitive Emissions (MtCO??)
Australia,1972,58.16,45.83,33.99,10.96,
Austria,1972,12.03,13.91,10.67,13.89,
Azerbaijan,1972,,,,,
Bahamas,1972,,,,,
Bahrain,1972,2.61,0.54,0.22,0.04,
Bangladesh,1972,0.8,1.25,0.25,0.87,
Barbados,1972,,,,,
Belarus,1972,,,,,
Belgium,1972,35.06,43.28,12.52,35.81,
Belize,1972,,,,,
Benin,1972,0,0.02,0.32,0.06,
Bhutan,1972,,,,,
Bolivia,1972,0.4,0.54,1.05,0.4,
Bosnia & Herzegovina,1972,2.113906882,4.930275637,1.57240831,2.299788724,
Botswana,1972,,,,,
Brazil,1972,11.67,30.41,47.26,9.01,
Brunei,1972,0.24,0.07,0.06,0.02,
Bulgaria,1972,23.18,10.77,4.86,25.99,
Burkina Faso,1972,,,,,
Burundi,1972,,,,,
Cambodia,1972,,,,,
Cameroon,1972,0.04,0.08,0.61,0.03,
Canada,1972,82.04,81.72,89.2,104.97,
Cape Verde,1972,,,,,
Central African Republic,1972,,,,,
Chad,1972,,,,,
Chile,1972,5.58,6.12,5.77,2.95,
China,1972,144.65,444.58,51.44,227.65,
Colombia,1972,6.1,8.54,7.06,5.63,
Comoros,1972,,,,,
Congo,1972,0.04,0.14,0.38,0.04,
"Congo, Dem. Republic",1972,0.07,0.98,0.44,1.1,
Cook Islands,1972,,,,,
Costa Rica,1972,0.24,0.33,0.76,0.09,
Cote d'Ivoire,1972,0.55,0.83,0.95,0.31,
Croatia,1972,3.037643621,5.56985174,3.468690832,1.658429419,
Cuba,1972,4.79,7.74,4,3.3,
Cyprus,1972,0.86,0.56,0.66,0.12,
Czech Republic,1972,39.09,66.14,5.97,38.84,
Denmark,1972,16.5,10.21,7.6,22.74,
Djibouti,1972,,,,,
Dominica,1972,,,,,
Dominican Republic,1972,1.96,0.9,1.48,0.19,
Ecuador,1972,0.81,0.51,1.81,0.47,
Egypt,1972,3.1,10.07,4.49,4.99,
El Salvador,1972,0.4,0.43,0.63,0.17,
Equatorial Guinea,1972,,,,,
Eritrea,1972,,,,,
Estonia,1972,,,,,
Ethiopia,1972,0.39,0.24,0.51,0.09,
Fiji,1972,,,,,
Finland,1972,9.83,15.73,6.62,11.54,
France,1972,110.22,140.61,65.21,132.59,
Gabon,1972,0.09,0.38,0,0,
Gambia,1972,,,,,
Georgia,1972,,,,,
Germany,1972,388.89,254.66,103.23,256.46,
Ghana,1972,0.12,0.45,1.04,0.42,
Greece,1972,10.34,7.55,5.62,5.67,
Grenada,1972,,,,,
Guatemala,1972,0.66,0.77,0.81,0.28,
Guinea,1972,,,,,
Guinea-Bissau,1972,,,,,
Guyana,1972,,,,,
Haiti,1972,0.02,0.16,0.16,0.02,
Honduras,1972,0.17,0.31,0.48,0.18,
Hungary,1972,22.87,17.26,6.61,15.47,
Iceland,1972,0.03,0.3,0.32,0.84,
India,1972,49.16,73.56,48.4,37.17,
Indonesia,1972,6.48,5.49,8.64,7.63,
Iran,1972,11.05,13.15,8.18,13.72,
Iraq,1972,5.08,1.71,2.74,1.98,
Ireland,1972,6.79,5.29,3.04,6.28,
Israel,1972,6.92,3.33,3.12,1.81,
Italy,1972,80.16,100.53,50.9,77.93,
Jamaica,1972,1.94,2.32,1.48,0.32,
Japan,1972,291.31,289.62,107.44,109.98,
Jordan,1972,0.4,0.14,0.62,0.33,
Kazakhstan,1972,,,,,
Kenya,1972,0.5,0.69,1.53,0.69,
Kiribati,1972,,,,,
Korea (North),1972,8.5,47.54,1.85,11.92,
Korea (South),1972,11.14,15.38,5.93,21.5,
